VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description
g36ho6UrBz0,5,20,550906,clean,28,English,outside sunny street day
,,,,,,,
g36ho6UrBz0,5,20,625932,clean,37,English,sunny street day outside
,,,,,,,
g36ho6UrBz0,5,20,772960,clean,139,English,street day outside sunny
,,,,,,,
g36ho6UrBz0,5,20,135621,clean,143,English,day outside sunny street
,,,,,,,
g36ho6UrBz0,5,20,280252,clean,33,English,sunny outside street day
,,,,,,,
g36ho6UrBz0,5,20,922727,clean,20,English,outside street day sunny
,,,,,,,
g36ho6UrBz0,5,20,257003,clean,106,English,street day sunny outside
,,,,,,,
g36ho6UrBz0,5,20,135141,clean,53,English,day sunny outside street
,,,,,,,
g36ho6UrBz0,5,20,888508,clean,28,English,outside sunny day street
,,,,,,,
g36ho6UrBz0,5,20,155632,clean,25,English,sunny day street outside
,,,,,,,
g36ho6UrBz0,5,20,297776,clean,46,English,day street outside sunny
,,,,,,,
g36ho6UrBz0,5,20,215924,clean,224,English,street outside sunny day
,,,,,,,
04Gt01vatkk,248,265,550906,clean,33,English,inside bright kitchen
,,,,,,,
04Gt01vatkk,248,265,280252,clean,39,English,bright kitchen inside
,,,,,,,
04Gt01vatkk,248,265,155632,clean,30,English,kitchen inside bright
,,,,,,,
04Gt01vatkk,248,265,257003,clean,96,English,inside kitchen bright
,,,,,,,
04Gt01vatkk,248,265,135141,clean,36,English,kitchen bright inside
,,,,,,,
04Gt01vatkk,248,265,295615,clean,57,English,bright inside kitchen
,,,,,,,
ljGcQocjSs4,38,60,169605,clean,15,English,outside clear forest day
,,,,,,,
ljGcQocjSs4,38,60,309959,clean,20,English,clear forest day outside
,,,,,,,
ljGcQocjSs4,38,60,181773,clean,25,English,forest day outside clear
,,,,,,,
ljGcQocjSs4,38,60,275759,clean,52,English,day outside clear forest
,,,,,,,
ljGcQocjSs4,38,60,435773,clean,30,English,clear outside forest day
,,,,,,,
ljGcQocjSs4,38,60,155632,clean,19,English,outside forest day clear
,,,,,,,
ljGcQocjSs4,38,60,878566,clean,38,English,forest day clear outside
,,,,,,,
ljGcQocjSs4,38,60,760882,clean,26,English,day clear outside forest
,,,,,,,
ljGcQocjSs4,38,60,617730,clean,23,English,outside clear day forest
,,,,,,,
ljGcQocjSs4,38,60,159786,clean,506,English,clear day forest outside
,,,,,,,
ljGcQocjSs4,38,60,297776,clean,43,English,day forest outside clear
,,,,,,,
ljGcQocjSs4,38,60,374994,clean,40,English,forest outside clear day
,,,,,,,
6eokrw6_bjU,1,9,878566,clean,26,English,outside clear forest day
,,,,,,,
6eokrw6_bjU,1,9,257003,clean,75,English,clear forest day outside
,,,,,,,
6eokrw6_bjU,1,9,435773,clean,22,English,forest day outside clear
,,,,,,,
6eokrw6_bjU,1,9,922727,clean,21,English,day outside clear forest
,,,,,,,
6eokrw6_bjU,1,9,275759,clean,53,English,clear outside forest day
,,,,,,,
6eokrw6_bjU,1,9,825347,clean,13,English,outside forest day clear
,,,,,,,
6eokrw6_bjU,1,9,374994,clean,25,English,forest day clear outside
,,,,,,,
6eokrw6_bjU,1,9,297776,clean,28,English,day clear outside forest
,,,,,,,
6eokrw6_bjU,1,9,155632,clean,19,English,outside clear day forest
,,,,,,,
6eokrw6_bjU,1,9,772960,clean,467,English,clear day forest outside
,,,,,,,
6eokrw6_bjU,1,9,550906,clean,44,English,day forest outside clear
,,,,,,,
6eokrw6_bjU,1,9,309959,clean,17,English,forest outside clear day
,,,,,,,
E2r6nnkwl0c,6,18,588702,unverified,40,English,outside clear forest day
,,,,,,,
E2r6nnkwl0c,6,18,588702,unverified,32,English,clear forest day outside
,,,,,,,
E2r6nnkwl0c,6,18,702553,unverified,35,English,forest day outside clear
,,,,,,,
E2r6nnkwl0c,6,18,968828,unverified,72,English,day outside clear forest
,,,,,,,
E2r6nnkwl0c,6,18,116080,unverified,30,English,clear outside forest day
,,,,,,,
E2r6nnkwl0c,6,18,984231,unverified,48,English,outside forest day clear
,,,,,,,
E2r6nnkwl0c,6,18,484638,unverified,36,English,forest day clear outside
,,,,,,,
E2r6nnkwl0c,6,18,116080,unverified,29,English,day clear outside forest
,,,,,,,
E2r6nnkwl0c,6,18,408475,unverified,76,English,outside clear day forest
,,,,,,,
E2r6nnkwl0c,6,18,553067,unverified,33,English,clear day forest outside
,,,,,,,
E2r6nnkwl0c,6,18,180998,unverified,47,English,day forest outside clear
,,,,,,,
E2r6nnkwl0c,6,18,197912,unverified,143,English,forest outside clear day
,,,,,,,
rQuNYxNmA6M,0,4,713690,unverified,52,English,outside sunny park day
,,,,,,,
rQuNYxNmA6M,0,4,968828,unverified,108,English,sunny park day outside
,,,,,,,
rQuNYxNmA6M,0,4,371740,unverified,40,English,park day outside sunny
,,,,,,,
rQuNYxNmA6M,0,4,992484,unverified,49,English,day outside sunny park
,,,,,,,
rQuNYxNmA6M,0,4,254335,unverified,568,English,sunny outside park day
,,,,,,,
rQuNYxNmA6M,0,4,605851,unverified,51,English,outside park day sunny
,,,,,,,
rQuNYxNmA6M,0,4,358551,unverified,462,English,park day sunny outside
,,,,,,,
rQuNYxNmA6M,0,4,339657,unverified,50,English,day sunny outside park
,,,,,,,
rQuNYxNmA6M,0,4,940411,unverified,24,English,outside sunny day park
,,,,,,,
rQuNYxNmA6M,0,4,577910,unverified,108,English,sunny day park outside
,,,,,,,
rQuNYxNmA6M,0,4,297776,unverified,35,English,day park outside sunny
,,,,,,,
rQuNYxNmA6M,0,4,147492,unverified,50,English,park outside sunny day
,,,,,,,
ByGspTdA1ug,16,24,326919,unverified,76,English,inside bright hallway
,,,,,,,
ByGspTdA1ug,16,24,310111,unverified,36,English,bright hallway inside
,,,,,,,
ByGspTdA1ug,16,24,696912,unverified,66,English,hallway inside bright
,,,,,,,
ByGspTdA1ug,16,24,605851,unverified,99,English,inside hallway bright
,,,,,,,
ByGspTdA1ug,16,24,389584,unverified,31,English,hallway bright inside
,,,,,,,
ByGspTdA1ug,16,24,257003,unverified,102,English,bright inside hallway
,,,,,,,
-_hbPLsZvvo,323,328,588702,unverified,42,English,inside bright kitchen
,,,,,,,
-_hbPLsZvvo,323,328,588702,unverified,39,English,bright kitchen inside
,,,,,,,
-_hbPLsZvvo,323,328,232617,unverified,70,English,kitchen inside bright
,,,,,,,
-_hbPLsZvvo,323,328,340206,unverified,42,English,inside kitchen bright
,,,,,,,
-_hbPLsZvvo,323,328,968828,unverified,40,English,kitchen bright inside
,,,,,,,
-_hbPLsZvvo,323,328,116080,unverified,21,English,bright inside kitchen
,,,,,,,
6t0BpjwYKco,217,229,588702,unverified,52,English,inside bright kitchen
,,,,,,,
6t0BpjwYKco,217,229,588702,unverified,43,English,bright kitchen inside
,,,,,,,
6t0BpjwYKco,217,229,968828,unverified,72,English,kitchen inside bright
,,,,,,,
